semicore,predict
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Zr,Zr
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Mo
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Mo
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Mo
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Nb
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Nb
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Nb
Hf,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Hf
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Zr
Nb,Nb
Nb,Nb
